行政编码,区县,市,省
110000,北京市,北京市,北京市
110101,东城区,北京市,北京市
110102,西城区,北京市,北京市
110103,崇文区,北京市,北京市
110104,宣武区,北京市,北京市
110105,朝阳区,北京市,北京市
110106,丰台区,北京市,北京市
110107,石景山区,北京市,北京市
110108,海淀区,北京市,北京市
110109,门头沟区,北京市,北京市
110110,燕山区,北京市,北京市
110111,房山区,北京市,北京市
110112,通州区,北京市,北京市
110113,顺义区,北京市,北京市
110114,昌平区,北京市,北京市
110115,大兴区,北京市,北京市
110116,怀柔区,北京市,北京市
110117,平谷区,北京市,北京市
110118,密云区,北京市,北京市
110119,延庆区,北京市,北京市
110201,昌平县,北京市,北京市
110202,顺义县,北京市,北京市
110203,通县,北京市,北京市
110204,大兴县,北京市,北京市
110205,房山县,北京市,北京市
110206,平谷县,北京市,北京市
110207,怀柔县,北京市,北京市
110208,密云县,北京市,北京市
110209,延庆县,北京市,北京市
110221,昌平县,北京市,北京市
110222,顺义县,北京市,北京市
110223,通县,北京市,北京市
110224,大兴县,北京市,北京市
110225,房山县,北京市,北京市
110226,平谷县,北京市,北京市
110227,怀柔县,北京市,北京市
110228,密云县,北京市,北京市
110229,延庆县,北京市,北京市
120000,天津市,天津市,天津市
120101,和平区,天津市,天津市
120102,河东区,天津市,天津市
120103,河西区,天津市,天津市
120104,南开区,天津市,天津市
120105,河北区,天津市,天津市
120106,红桥区,天津市,天津市
120107,塘沽区,天津市,天津市
120108,汉沽区,天津市,天津市
120109,大港区,天津市,天津市
120110,东郊区|东丽区,天津市,天津市
120111,西郊区|西青区,天津市,天津市
120112,津南区|南郊区,天津市,天津市
120113,北郊区|北辰区,天津市,天津市
120114,武清区,天津市,天津市
120115,宝坻区,天津市,天津市
120116,滨海新区,天津市,天津市
120117,宁河区,天津市,天津市
120118,静海区,天津市,天津市
120119,蓟州区,天津市,天津市
120201,宁河县,天津市,天津市
120202,武清县,天津市,天津市
120203,静海县,天津市,天津市
120204,宝坻县,天津市,天津市
120205,蓟县,天津市,天津市
